

Data
Lateral(µm),Raw(nm),,
0,NaN,,
0.344650685787201,NaN,,
0.689301371574402,NaN,,
1.03395199775696,NaN,,
1.3786027431488,NaN,,
1.72325348854065,NaN,,
2.06790399551392,NaN,,
2.41255474090576,NaN,,
2.75720548629761,NaN,,
3.10185623168945,NaN,,
3.4465069770813,NaN,,
3.79115748405457,NaN,,
4.13580799102783,NaN,,
4.48045873641968,NaN,,
4.82510948181152,NaN,,
5.16976022720337,NaN,,
5.51441097259521,NaN,,
5.85906171798706,NaN,,
6.20371246337891,NaN,,
6.54836320877075,NaN,,
6.8930139541626,-42819.5589924151,,
7.23766422271729,-23964.8565173818,,
7.58231496810913,NaN,,
7.92696571350098,NaN,,
8.27161598205566,NaN,,
8.61626720428467,NaN,,
8.96091747283936,NaN,,
9.30556869506836,NaN,,
9.65021896362305,NaN,,
9.99487018585205,-34371.8048534935,,
10.3395204544067,NaN,,
10.6841716766357,-30954.6315726074,,
11.0288219451904,-24368.6065717867,,
11.3734722137451,-25027.1050270817,,
11.7181234359741,NaN,,
12.0627737045288,-29793.2940554608,,
12.4074249267578,NaN,,
12.7520751953125,NaN,,
13.0967264175415,-25474.9876216152,,
13.4413766860962,NaN,,
13.7860279083252,NaN,,
14.1306781768799,NaN,,
14.4753284454346,NaN,,
14.8199796676636,NaN,,
15.1646299362183,-39339.0381919908,,
15.5092811584473,NaN,,
15.853931427002,NaN,,
16.1985816955566,NaN,,
16.5432319641113,-31809.7826511625,,
16.8878841400146,NaN,,
17.2325344085693,NaN,,
17.577184677124,-38405.5489617627,,
17.9218349456787,NaN,,
18.266487121582,NaN,,
18.6111373901367,NaN,,
18.9557876586914,NaN,,
19.3004379272461,NaN,,
19.6450881958008,NaN,,
19.9897403717041,NaN,,
20.3343906402588,NaN,,
20.6790409088135,NaN,,
21.0236911773682,-27823.0886020801,,
21.3683433532715,NaN,,
21.7129936218262,NaN,,
22.0576438903809,NaN,,
22.4022941589355,NaN,,
22.7469444274902,NaN,,
23.0915966033936,NaN,,
23.4362468719482,NaN,,
23.7808971405029,NaN,,
24.1255474090576,NaN,,
24.4701995849609,NaN,,
24.8148498535156,NaN,,
25.1595001220703,-40664.8037473914,,
25.504150390625,NaN,,
25.8488006591797,-35442.8810263286,,
26.193452835083,NaN,,
26.5381031036377,-42831.2348205071,,
26.8827533721924,NaN,,
27.2274036407471,-23040.5840103024,,
27.5720558166504,-25021.1143766517,,
27.9167060852051,NaN,,
28.2613563537598,NaN,,
28.6060066223145,NaN,,
28.9506568908691,NaN,,
29.2953090667725,NaN,,
29.6399593353271,NaN,,
29.9846096038818,NaN,,
30.3292598724365,NaN,,
30.6739101409912,-27348.5567194674,,
31.0185623168945,NaN,,
31.3632125854492,-35279.2273207443,,
31.7078628540039,NaN,,
32.0525131225586,NaN,,
32.3971633911133,-37746.9101062155,,
32.741813659668,NaN,,
33.0864639282227,NaN,,
33.4311180114746,NaN,,
33.7757682800293,NaN,,
34.120418548584,-29185.0433640703,,
34.4650688171387,NaN,,
34.8097190856934,NaN,,
35.154369354248,-20535.5523757378,,
35.4990196228027,NaN,,
35.8436698913574,-25889.6794718747,,
36.1883201599121,NaN,,
36.5329742431641,NaN,,
36.8776245117188,NaN,,
37.2222747802734,NaN,,
37.5669250488281,-13191.0529514397,,
37.9115753173828,NaN,,
38.2562255859375,NaN,,
38.6008758544922,-27953.4074629851,,
38.9455261230469,NaN,,
39.2901763916016,NaN,,
39.6348304748535,NaN,,
39.9794807434082,-27029.4769127618,,
40.3241310119629,NaN,,
40.6687812805176,-30868.4020469235,,
41.0134315490723,-17989.5826451629,,
41.358081817627,-13326.7317809999,,
41.7027320861816,-9416.164133237,,
42.0473823547363,-7762.97766391041,,
42.392032623291,-7543.94360089486,,
42.736686706543,-7560.28929428361,,
43.0813369750977,-7678.91474085058,,
43.4259872436523,-7356.62061679987,,
43.770637512207,NaN,,
44.1152877807617,-7192.96991020236,,
44.4599380493164,-6980.13866975761,,
44.8045883178711,-6980.62123668591,,
45.1492385864258,-6864.87319311005,,
45.4938888549805,-6773.78810607717,,
45.8385429382324,-6705.14845522764,,
46.1831932067871,-6651.08499752825,,
46.5278434753418,-6522.37752951392,,
46.8724937438965,-6412.7297110052,,
47.2171440124512,-6304.90639750137,,
47.5617942810059,-6281.69635777073,,
47.9064445495605,-6281.86742384453,,
48.2510948181152,-6161.63475685559,,
48.5957450866699,-6062.02047975923,,
48.9403991699219,-5956.54214452249,,
49.2850494384766,-5931.06259856627,,
49.6296997070313,-5844.24828713763,,
49.9743499755859,-5788.17614337257,,
50.3190002441406,-5683.49997739071,,
50.6636505126953,-5562.98671240982,,
51.00830078125,-5483.2714065659,,
51.3529510498047,-5446.64828837457,,
51.6976013183594,-5384.00619603162,,
52.0422554016113,-5309.02280555807,,
52.386905670166,-5258.87659471537,,
52.7315559387207,-5189.08976055114,,
53.0762062072754,-5125.60834646137,,
53.4208564758301,-5036.83355743263,,
53.7655067443848,-4983.84057489193,,
54.1101570129395,-4947.76629153946,,
54.4548072814941,-4821.10830136937,,
54.7994575500488,-4788.43704124078,,
55.1441116333008,-4730.41685007753,,
